region,label,lon_w,lon_e,lat_s,lat_n,worldcover_top_land_code,worldcover_top_land_label,worldcover_family,worldcover_water_pct,worldcover_vegetated_pct,worldcover_bare_pct,worldcover_built_pct,worldcover_ice_pct,koppen_top_code,koppen_top_label,koppen_family,koppen_land_climate_pct,koppen_tropical_pct,koppen_arid_pct,koppen_temperate_pct,koppen_cold_pct,koppen_polar_pct
abc_venezuela,ABC群岛 / 委内瑞拉加勒比,-73.0,-59.5,10.0,14.0,10,Tree cover,vegetated,28.0639,18.1512,0.5874,0.3096,0,3,Aw - Tropical savannah,tropical,19.72,15.5128,3.7217,0.4714,0,0.0141
adriatic_sea,亚得里亚海,12.0,20.5,38.0,46.0,10,Tree cover,vegetated,25.8267,49.3634,0.0366,0.5464,0,14,Cfa,temperate,50.6112,0,0.3774,41.2342,8.9967,0.0028
alaska,阿拉斯加,-168.0,-141.0,54.0,62.0,30,Grassland,vegetated,16.7409,24.9678,0.4514,0.008,4.2996,27,Dfc,cold,31.2542,0,0,0.3669,24.2667,6.6205
andaman_sea,安达曼海,91.5,100.5,5.0,14.5,10,Tree cover,vegetated,24.9208,13.8968,0.0045,0.1641,0,2,Am - Tropical monsoon,tropical,14.7128,14.6723,0,0.0404,0,0
arabian_sea,阿拉伯海 / 印度西岸,60.0,78.0,8.0,25.0,40,Cropland,vegetated,4.6461,25.6753,0.5678,0.2048,0,3,Aw - Tropical savannah,tropical,27.123,13.9554,11.3752,1.7923,0,0
azores,亚速尔群岛,-31.5,-24.5,36.5,40.0,10,Tree cover,vegetated,16.6435,0.7716,0,0.0077,0,15,Cfb,temperate,0.9491,0,0,0.9491,0,0
baltic_sea,波罗的海,9.0,30.0,54.0,66.0,10,Tree cover,vegetated,21.9207,66.5728,0.0396,0.1981,0.0251,26,Dfb,cold,70.7983,0,0,4.199,66.2115,0.3878
bashi_channel,巴士海峡,118.0,123.0,18.0,22.5,10,Tree cover,vegetated,21.3252,4.4541,0,0.017,0,2,Am - Tropical monsoon,tropical,4.8288,4.5308,0,0.298,0,0
bay_of_bengal,孟加拉湾,80.0,100.0,5.0,23.0,10,Tree cover,vegetated,10.0947,28.9975,0.0251,0.0955,0,3,Aw - Tropical savannah,tropical,29.6479,24.316,0.1451,5.1869,0,0
bay_of_biscay,比斯开湾 / 伊比利亚,-10.0,2.0,42.0,48.5,10,Tree cover,vegetated,8.7812,45.9462,0.0686,0.436,0,15,Cfb,temperate,46.8402,0,0.147,44.9812,1.619,0.0931
