group,seq_in_group,track_key_name,track_key_artist,name,artist,label(mood_tags),genre_family,label_confidence
1,1,"""Ever Love (From """"Hana-Bi"""" Soundtrack)""",久石譲,"""Ever Love (From """"Hana-Bi"""" Soundtrack)""",久石譲,melancholic;nostalgic;restrained,modern_classical,0.9
1,2,Yellow House (feat. Yama Warashi),Ishmael Ensemble,Yellow House (feat. Yama Warashi),Ishmael Ensemble,dreamy;warm;nostalgic,ambient_jazz,0.85
1,3,Samba De Orfeu,Sir Hiss,Samba De Orfeu,Sir Hiss,warm;clear;sensual,jazz,0.85
1,4,Elixir,Tourist,Elixir,Tourist,dreamy;warm;nostalgic,ambient,0.85
1,5,喜欢你，但害怕,戴尔基,喜欢你，但害怕,戴尔基,bittersweet;melancholic;restrained,mandopop,0.85
1,6,Sweet Dreams (Are Made Of This),Marilyn Manson,Sweet Dreams (Are Made Of This),Marilyn Manson,restless;urban;melancholic,industrial_rock,0.85
1,7,Writing's On the Wall,Sam Smith,Writing's On the Wall,Sam Smith,melancholic;bittersweet;restrained,pop,0.9
1,8,Memphis Helena,Pan-American,Memphis Helena,Pan-American,introspective;melancholic;restrained,ambient,0.85
1,9,Lonely Cactus,Djabe,Lonely Cactus,Djabe,lonely;restrained;bittersweet,jazz,0.85
1,10,Bergen,Rymden,Bergen,Rymden,introspective;melancholic;restrained,modern_jazz,0.85
1,11,Highway Driving,Kalyn Fay,Highway Driving,Kalyn Fay,urban;restless;hopeful,folk_rock,0.85
1,12,The Other Shore,Lamb,The Other Shore,Lamb,dreamy;melancholic;unresolved,trip_hop,0.85
1,13,NUMB,XXXTENTACION,NUMB,XXXTENTACION,melancholic;restrained;lonely,emo_rap,0.85
1,14,Earthly Needs,Hayden Thorpe,Earthly Needs,Hayden Thorpe,introspective;melancholic;restrained,art_pop,0.85
1,15,Retirement Home,Maria Usbeck,Retirement Home,Maria Usbeck,nostalgic;warm;bittersweet,indie_pop,0.85
1,16,If I Fail,Mono Inc.,If I Fail,Mono Inc.,melancholic;restrained;unresolved,gothic_rock,0.85
1,17,Patience,S.E.N.S.,Patience,S.E.N.S.,introspective;melancholic;restrained,new_age,0.9
1,18,Kiss Me More,Doja Cat / SZA,Kiss Me More,Doja Cat / SZA,sensual;urban;hopeful,pop,0.85
1,19,Beacon Point,Segue,Beacon Point,Segue,introspective;melancholic;restrained,ambient,0.85
1,20,Le sable mouvant - End of May,Keren Ann,Le sable mouvant - End of May,Keren Ann,melancholic;dreamy;bittersweet,chanson,0.9
1,21,Eusexua,FKA twigs,Eusexua,FKA twigs,sensual;dreamy;restless,art_pop,0.85
1,22,入戏太深,陈洁仪,入戏太深,陈洁仪,melancholic;bittersweet;nostalgic,mandopop,0.85
1,23,Midnight Dipper,Warmduscher,Midnight Dipper,Warmduscher,urban;restless;unresolved,electronic,0.85
1,24,Monkey Box,Only Child Tyrant,Monkey Box,Only Child Tyrant,restless;urban;unresolved,electronic,0.8
1,25,Fast Cars,Connie Constance,Fast Cars,Connie Constance,urban;restless;nostalgic,indie_pop,0.85
1,26,"""Suite bergamasque, L. 75: III. Clair de lune""",Claude Debussy,"""Suite bergamasque, L. 75: III. Clair de lune""",Claude Debussy,dreamy;introspective;nostalgic,classical,0.95
1,27,Out the Bottle,Lolo Zouaï,Out the Bottle,Lolo Zouaï,urban;restless;hopeful,alt_pop,0.85
1,28,Divine Illusion - Bonus Track,Chasms,Divine Illusion - Bonus Track,Chasms,melancholic;dreamy;unresolved,dream_pop,0.85
1,29,布拉格广场,蔡依林,布拉格广场,蔡依林,urban;nostalgic;hopeful,mandopop,0.85
1,30,Valley of the Giants,Allison Miller,Valley of the Giants,Allison Miller,introspective;restrained;melancholic,modern_classical,0.85
2,1,Leave a Trace,CHVRCHES,Leave a Trace,CHVRCHES,restless;urban;clear,synthpop,0.9
2,2,Some Kinda World,Art of Fighting,Some Kinda World,Art of Fighting,melancholic;introspective;bittersweet,indie_folk,0.85
2,3,真夜中のドア/Stay With Me (シングルver.),松原みき,真夜中のドア/Stay With Me (シングルver.),松原みき,nostalgic;urban;warm,city_pop,0.9
2,4,Angeleyes,ABBA,Angeleyes,ABBA,nostalgic;bittersweet;urban,pop,0.85
2,5,Invisible Light,Rachael Sage,Invisible Light,Rachael Sage,introspective;dreamy;restrained,art_pop,0.85
2,6,Candy Thunder,Beach Baby,Candy Thunder,Beach Baby,dreamy;nostalgic;warm,dream_pop,0.85
2,7,Starboy,The Weeknd,Starboy,The Weeknd,urban;restless;hopeful,synthpop,0.9
2,8,雾,张亚东,雾,张亚东,misty;introspective;restrained,ambient,0.9
2,9,慕容雪,薛凯琪,慕容雪,薛凯琪,nostalgic;melancholic;bittersweet,mandopop,0.85
2,10,Сейчас Любить,82-75,Сейчас Любить,82-75,dreamy;nostalgic;bittersweet,dream_pop,0.85
2,11,京鹿子娘道成寺,杵屋五三郎,京鹿子娘道成寺,杵屋五三郎,restrained;melancholic;bittersweet,traditional_japanese,0.85
2,12,StarSeed 〜カクセイ〜,LOONA,StarSeed 〜カクセイ〜,LOONA,dreamy;hopeful;urban,k_pop,0.85
2,13,Crash,Starflyer 59,Crash,Starflyer 59,melancholic;restrained;bittersweet,shoegaze,0.85
2,14,We Choose To Go To The Moon,There's a Light,We Choose To Go To The Moon,There's a Light,hopeful;nostalgic;dreamy,ambient,0.85
2,15,"""thank u, next""",Ariana Grande,"""thank u, next""",Ariana Grande,hopeful;warm;clear,pop,0.85
2,16,Changing Faces,Craft Spells,Changing Faces,Craft Spells,nostalgic;dreamy;urban,synthpop,0.85
2,17,Sakamoto: Theme from Merry Christmas Mr.Lawrence,Craig Owen and Greg Scot,Sakamoto: Theme from Merry Christmas Mr.Lawrence,Craig Owen and Greg Scot,introspective;melancholic;restrained,modern_classical,0.95
2,18,Cheapest Flight,PREP,Cheapest Flight,PREP,urban;nostalgic;hopeful,jazz_pop,0.85
2,19,Fotografiet,Mats Eilertsen Trio,Fotografiet,Mats Eilertsen Trio,introspective;restrained;melancholic,jazz,0.9
2,20,Let You Down,The Material,Let You Down,The Material,melancholic;lonely;bittersweet,indie_rock,0.85
2,21,Song Of The Heart,Connie Ellisor,Song Of The Heart,Connie Ellisor,warm;nostalgic;hopeful,easy_listening,0.85
2,22,When It Rains,Lightning Dust,When It Rains,Lightning Dust,melancholic;misty;lonely,indie_folk,0.85
2,23,The Other Side of Paradise,Glass Animals,The Other Side of Paradise,Glass Animals,restless;urban;bittersweet,indie_pop,0.9
2,24,Angel by the Wings,Sia,Angel by the Wings,Sia,hopeful;restless;bittersweet,art_pop,0.85
2,25,Don't Call Me Angel (Charlie's Angels),Ariana Grande / Miley Cyrus / Lana Del Rey,Don't Call Me Angel (Charlie's Angels),Ariana Grande / Miley Cyrus / Lana Del Rey,urban;restless;sensual,pop,0.85
2,26,free fall,Berlioz,free fall,Berlioz,dreamy;warm;clear,lo_fi,0.9
2,27,I Forgive You,The Earth,I Forgive You,The Earth,warm;hopeful;bittersweet,folk_pop,0.85
2,28,Soul Below,LJones,Soul Below,LJones,introspective;melancholic;restrained,modern_classical,0.85
2,29,Patience,Take That,Patience,Take That,nostalgic;warm;hopeful,pop,0.85
2,30,Vågner,Bremer/McCoy,Vågner,Bremer/McCoy,dreamy;misty;restrained,ambient_jazz,0.85
3,1,Bright Horses,Nick Cave & The Bad Seeds,Bright Horses,Nick Cave & The Bad Seeds,melancholic;introspective;bittersweet,art_rock,0.9
3,2,Black Is the Graceful Veil,Nicola Conte / Kim Sanders,Black Is the Graceful Veil,Nicola Conte / Kim Sanders,sensual;dreamy;bittersweet,jazz,0.85
3,3,"""The Hebrides, Op. 26 (Fingal's Cave)""",Felix Mendelssohn,"""The Hebrides, Op. 26 (Fingal's Cave)""",Felix Mendelssohn,restrained;melancholic;bittersweet,classical,0.9
3,4,有无 (片尾曲),林生祥,有无 (片尾曲),林生祥,melancholic;restrained;nostalgic,folk,0.9
3,5,SEPTEMBER RAIN,松下誠,SEPTEMBER RAIN,松下誠,urban;nostalgic;warm,city_pop,0.85
3,6,Celebration,Kool & The Gang,Celebration,Kool & The Gang,hopeful;warm;clear,funk,0.85
3,7,DJ Got Us Fallin' In Love (feat. Pitbull & Hyper Crush) - HyperCrush Remix,USHER,DJ Got Us Fallin' In Love (feat. Pitbull & Hyper Crush) - HyperCrush Remix,USHER,urban;restless;hopeful,electro_house,0.85
3,8,I Want To Break Free,Royal Philharmonic Orchestra,I Want To Break Free,Royal Philharmonic Orchestra,hopeful;restless;nostalgic,orchestral_pop,0.85
3,9,You Spin Me Round (Like a Record),Dead Or Alive,You Spin Me Round (Like a Record),Dead Or Alive,restless;urban;hopeful,synthpop,0.85
3,10,Welcome Hotel,Allison Miller,Welcome Hotel,Allison Miller,warm;nostalgic;bittersweet,jazz,0.85
3,11,"""Ivory Joe Hunter, Little Walter""",Pan-American,"""Ivory Joe Hunter, Little Walter""",Pan-American,introspective;melancholic;restrained,ambient,0.85
3,12,Genesis of LOVE～愛の起源,AKINO with bless4,Genesis of LOVE～愛の起源,AKINO with bless4,hopeful;warm;nostalgic,j_pop,0.85
3,13,淡雪,梅林茂,淡雪,梅林茂,melancholic;restrained;bittersweet,modern_classical,0.9
3,14,"""Serse, HWV 40: Ombra mai fù""",George Frideric Handel,"""Serse, HWV 40: Ombra mai fù""",George Frideric Handel,introspective;restrained;warm,baroque,0.9
3,15,EARFQUAKE,"""Tyler, The Creator""",EARFQUAKE,"""Tyler, The Creator""",restless;urban;bittersweet,alternative_r&b,0.85
3,16,Little Threads,POLIÇA,Little Threads,POLIÇA,introspective;restrained;bittersweet,art_pop,0.85
3,17,flower,makegumi,flower,makegumi,dreamy;misty;restrained,ambient,0.85
3,18,死在旋转公寓,发光曲线,死在旋转公寓,发光曲线,restless;urban;melancholic,post_punk,0.85
3,19,돌이킬 수 없는 걸음(No Path Back),홍련 O.S.T,돌이킬 수 없는 걸음(No Path Back),홍련 O.S.T,melancholic;restrained;bittersweet,film_score,0.9
3,20,一步成詩,王诗安,一步成詩,王诗安,nostalgic;warm;bittersweet,mandopop,0.85
3,21,玫瑰星云 Holy,刘柏辛Lexie,玫瑰星云 Holy,刘柏辛Lexie,dreamy;urban;bittersweet,art_pop,0.85
3,22,Love!,焦迈奇,Love!,焦迈奇,warm;hopeful;nostalgic,mandopop,0.85
3,23,Tempus Horizon,God Is An Astronaut,Tempus Horizon,God Is An Astronaut,introspective;melancholic;restrained,post_rock,0.9
3,24,Perfect Circles,Carlos Cipa,Perfect Circles,Carlos Cipa,introspective;melancholic;restrained,modern_classical,0.9
3,25,Debris,Tangents,Debris,Tangents,introspective;melancholic;restrained,ambient,0.85
3,26,Lambent Brume Turning To The Clouds,The Best Pessimist,Lambent Brume Turning To The Clouds,The Best Pessimist,misty;dreamy;introspective,ambient,0.9
