name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
I've Got No Strings,The Tierney Sutton Band,restrained;clear;bittersweet,acoustic;jazz_brush;vocal_breath,,0.4,0.55,0.4,0.5,0.35,0.7,0.5,en,1,jazz,"""{""""evening_city_walk"""":0.75,""""work_focus_low_vocal"""":0.7,""""afternoon_warm_idle"""":0.65}""",slow_opening,0.85,爵士演绎，轻快的人声与细腻的鼓刷营造出克制而清晰的怀旧感
未接來電,楊乃文,melancholic;restrained;bittersweet,piano;string;vocal_breath;reverb_heavy,,0.35,0.3,0.4,0.45,0.25,0.7,0.75,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""night_clear_lonely"""":0.85,""""deep_night_introspective"""":0.75}""",slow_opening,0.85,楊乃文冷冽而克制的人声搭配钢琴与弦乐，营造出略带苦涩的怀旧与孤独感
WILD (Young Bombs Remix),Alessia Cara,restless;urban;hopeful,soft_synth;electric_distant;vocal_breath,,0.65,0.55,0.6,0.5,0.7,0.75,0.5,en,1,electropop,"""{""""evening_city_walk"""":0.8,""""user_requested_explore"""":0.75,""""work_focus_low_vocal"""":0.6}""",city_to_inner_room,0.85,Alessia Cara 的人声充满都市不安与希望，Young Bombs 的混音加入软合成器和律动感，适合夜晚城市漫步
盛夏的果实 (Live),汪睿,nostalgic;warm;bittersweet,acoustic;vocal_breath;string,,0.4,0.5,0.4,0.6,0.35,0.7,0.65,zh,1,mandopop,"""{""""evening_city_walk"""":0.8,""""weekend_slow"""":0.7,""""night_rain_humid"""":0.75}""",slow_opening,0.85,现场版温暖人声与木吉他，怀旧中带一丝苦涩，适合安静聆听
Slipping Through the Cracks,Josephine Wiggs,melancholic;lonely;restrained,piano;reverb_heavy;minimal;vocal_breath,,0.2,0.3,0.25,0.35,0.15,0.4,0.8,en,1,art_pop,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,稀疏钢琴与深远混响，脆弱人声透出孤独与克制，情感沉重但能量极低
"""Good Luck, Babe! (Acoustic)""",MADILYN,bittersweet;nostalgic;hopeful,acoustic;vocal_breath;piano,,0.35,0.5,0.4,0.6,0.3,0.7,0.65,en,1,acoustic_pop,"""{""""morning_clear_light"""":0.75,""""evening_city_walk"""":0.7,""""weekend_slow"""":0.7}""",slow_opening,0.85,不插电版本以木吉他和钢琴为主，人声突出，温暖中带着淡淡的怀旧与希望
Bowman,Silk Road Assassins,restless;urban;unresolved,cold_synth;electric_distant;reverb_heavy;grainy,,0.6,0.4,0.7,0.3,0.65,0,0.6,instrumental,0,electronic,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,冷调合成器与颗粒感纹理营造出都市夜晚的不安与疏离感
Atmosphere,Joy Division,melancholic;lonely;restrained,cold_synth;reverb_heavy;electric_distant,,0.25,0.2,0.4,0.2,0.2,0.6,0.85,en,1,post_punk,"""{""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.85,""""night_clear_lonely"""":0.8}""",fade_into_inner_space,0.9,冰冷合成器与深远混响，Ian Curtis 低沉人声营造出极度孤独与压抑的氛围
Step and a step,NiziU,hopeful;warm;clear,soft_synth;vocal_breath;acoustic,,0.6,0.65,0.5,0.6,0.55,0.75,0.5,ja,1,j_pop,"""{""""morning_clear_light"""":0.8,""""weekend_slow"""":0.7,""""evening_city_walk"""":0.65}""",soft_focus_work,0.85,NiziU 的明亮流行曲风，温暖人声与轻快节奏传递希望与清晰感
Point Reflex Blue,Croatian Amor,dreamy;misty;detached,ambient_pad;cold_synth;reverb_heavy;minimal,,0.2,0.3,0.25,0.3,0.1,0,0.6,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,冷调合成器与深远混响营造出梦幻而疏离的氛围，极简结构适合内省场景
Social Cues,Cage The Elephant,restless;urban;bittersweet,electric_distant;reverb_heavy;soft_synth,,0.6,0.45,0.55,0.4,0.55,0.7,0.65,en,1,indie_rock,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""work_focus_low_vocal"""":0.65}""",city_to_inner_room,0.85,电吉他失真与混响营造都市不安感，主唱声线带着苦涩的反思
The Edge of Infinity - Early Version,All India Radio,introspective;dreamy;restrained,ambient_pad;soft_synth;minimal;reverb_heavy,,0.2,0.3,0.25,0.4,0.15,0,0.7,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.9,早期版本以氛围合成器铺底和深远混响为主，极简而内省，能量低但情感重量适中
80/20,Chloe x Halle,urban;restless;bittersweet,soft_synth;vocal_breath;electric_distant,,0.6,0.55,0.55,0.5,0.6,0.75,0.6,en,1,r&b,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,都市R&B节奏，合成器与人声交织出不安与怀旧的矛盾情绪
Fireflies,Son Lux,restless;unresolved;melancholic,piano;reverb_heavy;electric_distant;cinematic,,0.4,0.35,0.55,0.3,0.5,0,0.75,instrumental,0,modern_classical,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,不安的钢琴与深远混响，充满悬而未决的张力与内省感
