region_id,region_name,category,lon,lat,pixel_x,pixel_y,mean_R,mean_G,mean_B,mean_H,mean_S_pct,mean_V_pct,Lab_L_mean,std_L,p5_L,p50_L,p95_L,local_contrast,edge_density,dS_vs_bmng_d2,risk_level,diagnosis
A1,Boracay,A,121.93,11.97,6870,1775,68,108,123,186.4,46.3,50.2,43.53,7.56,29.38,45.96,52.74,3.929,0.6737,-6.8,Medium,L*_oor_44
A2,Maldives,A,73.1,0.6,5759,2034,57,94,125,207.4,54.3,49.1,38.56,5.58,28.79,37.55,46.35,1.678,0.2617,-8.2,Medium,L*_oor_39
A3,GBR_Ribbon,A,147.7,-18.28,7456,2463,84,115,129,158.1,46.3,55.1,47.01,5.98,34.11,47.96,53.01,2.377,0.3891,-5.3,Medium,L*_oor_47
A4,Bahamas,A,-77.0,24.2,2343,1497,73,112,126,191.6,43.9,50.6,44.94,11.74,24.47,48.57,60.0,3.925,0.5317,-14.3,Medium,L*_oor_45
A5,RedSea_Aqaba,A,34.9,28.5,4890,1399,158,150,130,71.3,29.1,66.1,62.38,11.18,44.85,64.18,78.72,5.366,0.8362,-2.4,High,desaturation_HIGH
A6,Seychelles_Aldabra,A,46.2,-9.42,5147,2262,56,88,114,206.9,50.5,44.7,36.12,5.09,26.26,36.03,43.29,1.543,0.196,-12.0,Medium,L*_oor_36
A7,Palau,A,134.5,7.5,7156,1877,43,65,90,212.3,52.9,35.7,27.0,8.95,15.22,26.5,44.56,4.538,0.5941,-10.6,Medium,L*_oor_27
A8,Hawaii_Kaneohe,A,-157.8,21.45,505,1559,50,76,101,206.4,51.5,40.0,31.42,8.4,19.01,30.66,48.2,2.965,0.409,-9.9,Medium,L*_oor_31
B1,Persian_Gulf,B,49.5,29.0,5222,1388,151,155,138,91.5,28.0,65.8,63.38,10.8,50.08,59.76,79.47,3.913,0.5607,-7.5,Low,within_range
B2,Ganges_Delta,B,88.5,21.0,6109,1570,77,104,101,147.6,39.7,45.1,42.15,8.57,27.29,46.39,52.37,2.446,0.4802,-8.4,Medium,L*_oor_42
B3,Yangtze_Mouth,B,122.5,31.5,6883,1331,92,120,121,151.9,34.4,51.5,48.74,9.08,27.86,51.9,60.22,2.189,0.3829,-10.2,Low,within_range
