name,artist,mood_tags,texture_tags,negative_tags,energy,brightness,density,warmth,rhythmic_motion,vocal_presence,emotional_weight,language,has_vocal,genre_family,scene_fit,sequence_shape,label_confidence,reason
Amazing Grace,露崎春女,warm;nostalgic;hopeful,vocal_breath;piano;string,,0.35,0.5,0.4,0.7,0.2,0.8,0.65,en,1,gospel,"""{""""morning_clear_light"""":0.8,""""weekend_slow"""":0.75,""""evening_city_walk"""":0.7}""",slow_opening,0.85,露崎春女温暖而富有穿透力的嗓音演绎经典圣歌，钢琴与弦乐营造出怀旧而充满希望的庄严氛围
The Flight,Marcelina Gawron,introspective;melancholic;restrained,piano;string;cinematic;minimal,,0.2,0.3,0.25,0.35,0.15,0,0.8,instrumental,0,modern_classical,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.9,""""night_rain_humid"""":0.8}""",slow_opening,0.9,钢琴与弦乐交织的极简古典作品，内省而克制，带有淡淡的忧郁与留白
夢桜,Jusqu'à Grand-Père,dreamy;nostalgic;melancholic,piano;string;reverb_heavy;minimal,,0.2,0.35,0.3,0.45,0.15,0,0.7,instrumental,0,modern_classical,"""{""""morning_cloudy_slow"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",afterglow_fading,0.85,钢琴与弦乐交织的日式氛围，梦幻而略带哀愁，如同雨中樱花凋零
Melancholy Astronautic Man,Allie Moss,melancholic;lonely;dreamy,acoustic;vocal_breath;string;minimal,,0.25,0.3,0.35,0.4,0.2,0.6,0.7,en,1,indie_folk,"""{""""deep_night_introspective"""":0.85,""""night_clear_lonely"""":0.8,""""work_focus_low_vocal"""":0.7}""",fade_into_inner_space,0.85,木吉他与人声交织，孤独而梦幻的民谣，如同太空中的忧郁漫游
Better Late,Von Spar,restless;urban;unresolved,electric_distant;cold_synth;reverb_heavy,,0.55,0.4,0.6,0.3,0.6,0,0.5,instrumental,0,indie_rock,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.7,""""work_focus_low_vocal"""":0.65}""",city_to_inner_room,0.85,冷调合成器与遥远电吉他交织，都市夜晚的躁动与未决感
XSB,Prins Thomas,urban;restless;dreamy,soft_synth;electric_distant;reverb_heavy,,0.6,0.5,0.55,0.4,0.65,0,0.45,instrumental,0,electronic,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.75,""""user_requested_explore"""":0.7}""",city_to_inner_room,0.85,Prins Thomas 的电子作品，合成器纹理与都市律动结合，带有梦幻与不安的张力
STARDUST NIGHT,JADOES,dreamy;nostalgic;urban,soft_synth;reverb_heavy;electric_distant;ambient_pad,,0.4,0.5,0.45,0.55,0.35,0,0.5,instrumental,0,synthwave,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""night_clear_lonely"""":0.75}""",city_to_inner_room,0.85,梦幻合成器与深远混响营造出都市夜晚的怀旧氛围，适合城市漫步或深夜内省
Reunited,Haiku Salut,nostalgic;warm;hopeful,ambient_pad;acoustic;cinematic;field_recording,,0.35,0.5,0.4,0.6,0.3,0,0.55,instrumental,0,ambient_folk,"""{""""morning_cloudy_slow"""":0.8,""""evening_city_walk"""":0.75,""""work_focus_low_vocal"""":0.7}""",soft_focus_work,0.85,氛围感铺底与田野录音交织，温暖怀旧中带着希望，适合安静专注或漫步场景
Turn Down For What,Lil Jon,restless;urban;unresolved,electric_distant;cold_synth;reverb_heavy,,0.9,0.8,0.9,0.2,0.95,0.85,0.3,en,1,trap,"""{""""evening_city_walk"""":0.5,""""night_clear_lonely"""":0.4,""""user_requested_explore"""":0.5}""",city_to_inner_room,0.85,高能量陷阱舞曲，重低音和急促节奏主导，适合派对场景但情绪上偏向躁动和都市感
初恋,玉置浩二,nostalgic;warm;bittersweet,acoustic;vocal_breath;string;jazz_brush,,0.35,0.5,0.4,0.7,0.3,0.75,0.65,ja,1,j_pop,"""{""""evening_city_walk"""":0.8,""""weekend_slow"""":0.75,""""night_rain_humid"""":0.7}""",slow_opening,0.9,玉置浩二温暖而略带沙哑的嗓音，搭配木吉他、弦乐与爵士鼓刷，营造出怀旧而略带苦涩的初恋回忆氛围
Sun (The),UNKLE,restless;urban;melancholic,electric_distant;cold_synth;reverb_heavy;field_recording,,0.55,0.4,0.6,0.35,0.5,0,0.65,instrumental,0,trip_hop,"""{""""evening_city_walk"""":0.85,""""deep_night_introspective"""":0.8,""""night_clear_lonely"""":0.75}""",city_to_inner_room,0.85,冷调电子音色与深远混响营造出都市夜晚的躁动与忧郁
Lean Into This,sir Was,warm;dreamy;hopeful,soft_synth;lofi_dust;vocal_breath;ambient_pad,,0.35,0.5,0.4,0.65,0.3,0.4,0.5,en,1,lo_fi,"""{""""morning_cloudy_slow"""":0.8,""""work_focus_low_vocal"""":0.85,""""afternoon_warm_idle"""":0.75}""",soft_focus_work,0.85,温暖的 lo-fi 氛围，软合成器与轻度失真营造出梦幻而充满希望的质感
調和 oto~with reflection~,KOKIA,introspective;dreamy;nostalgic,piano;string;vocal_breath;ambient_pad,,0.25,0.4,0.35,0.55,0.2,0.6,0.7,ja,1,art_pop,"""{""""deep_night_introspective"""":0.85,""""morning_cloudy_slow"""":0.8,""""work_focus_low_vocal"""":0.75}""",afterglow_fading,0.85,KOKIA 空灵人声与钢琴弦乐交织，营造内省怀旧的梦幻氛围，能量偏低但情感饱满
Curious (Anton Borin Edition),Anton Borin,dreamy;restrained;unresolved,piano;ambient_pad;reverb_heavy;minimal,,0.2,0.35,0.25,0.4,0.15,0,0.65,instrumental,0,ambient,"""{""""work_focus_low_vocal"""":0.85,""""deep_night_introspective"""":0.8,""""night_rain_humid"""":0.75}""",fade_into_inner_space,0.85,钢琴与氛围垫交织，混响厚重，节奏缓慢，营造出克制而梦幻的内省空间
Run This Town,JAŸ-Z,urban;restless;hopeful,electric_distant;soft_synth;vocal_breath,,0.65,0.55,0.6,0.5,0.7,0.8,0.6,en,1,hip_hop,"""{""""evening_city_walk"""":0.85,""""work_focus_low_vocal"""":0.7,""""user_requested_explore"""":0.75}""",city_to_inner_room,0.85,都市感强烈的嘻哈，节奏有力，人声主导，带有野心与不安的张力
Fly Away,sir Was,dreamy;warm;hopeful,soft_synth;lofi_dust;ambient_pad;vocal_breath,,0.4,0.5,0.4,0.6,0.35,0.5,0.5,en,1,lo_fi,"""{""""morning_cloudy_slow"""":0.8,""""work_focus_low_vocal"""":0.75,""""evening_city_walk"""":0.7}""",soft_focus_work,0.85,温暖梦幻的 lo-fi 氛围，软合成器与轻度失真纹理，人声轻柔带来希望感
These Wicked Things,Beat Circus,restless;urban;unresolved,electric_distant;reverb_heavy;cinematic,,0.6,0.4,0.55,0.35,0.5,0.6,0.65,en,1,dark_cabaret,"""{""""evening_city_walk"""":0.8,""""deep_night_introspective"""":0.75,""""night_clear_lonely"""":0.7}""",city_to_inner_room,0.85,电声与混响营造出都市不安与悬疑氛围，带有戏剧化的质感
"""Symphony No. 40 in G Minor, K. 550: I. Molto allegro""",Wolfgang Amadeus Mozart,restless;clear;unresolved,string;cinematic;minimal,,0.7,0.6,0.7,0.4,0.7,0,0.6,instrumental,0,classical,"""{""""work_focus_low_vocal"""":0.6,""""evening_city_walk"""":0.5,""""deep_night_introspective"""":0.4}""",slow_opening,0.85,莫扎特G小调交响曲，弦乐快速演奏带来清晰而躁动的能量，充满未解决的张力
God Particle (Bonus Track),White Shape,introspective;melancholic;restrained,ambient_pad;cold_synth;minimal;reverb_heavy,,0.2,0.25,0.3,0.3,0.1,0,0.7,instrumental,0,ambient,"""{""""deep_night_introspective"""":0.85,""""night_rain_humid"""":0.8,""""work_focus_low_vocal"""":0.75}""",fade_into_inner_space,0.85,冷调氛围合成器与深远混响，缓慢内省，如同粒子消散于寂静空间
Dreams Come True,aespa,hopeful;urban;clear,soft_synth;cold_synth;vocal_breath,,0.65,0.6,0.65,0.5,0.6,0.8,0.5,en,1,k_pop,"""{""""evening_city_walk"""":0.8,""""user_requested_explore"""":0.75,""""morning_clear_light"""":0.7}""",city_to_inner_room,0.85,aespa 的合成器驱动流行曲，明亮都市感与希望情绪，人声突出且律动感强
